id,target_id,name,desc,type,ctm,mtm,dtm
2,145,TCELSMR,NULL,2,1686553002,1686553002,NULL
3,28,MONTYP2P,NULL,2,1686553043,1686553043,NULL
4,26,INFINITY,NULL,2,1686553069,1686553069,NULL
5,22,NPL,NULL,2,1686553089,1686553089,NULL
6,24,SZF,NULL,2,1686562669,1686562669,NULL
7,21,VPLUS,NULL,2,1686562669,1686812696,NULL
8,23,MOVITEL,NULL,2,1686562669,1686562669,NULL
9,25,YUYA,NULL,2,1686562669,1686813266,NULL
10,30,COGNISANCE,NULL,2,1689746633,1689746633,NULL
11,33,BTSMS1,NULL,2,1691032465,1691032465,NULL
12,35,STELP2A,NULL,2,1692579821,1692579821,NULL
13,34,CODEXTECH,NULL,2,1692584696,1692584696,NULL
14,36,MADACLIENT,NULL,2,1692584696,1692584696,NULL
15,37,CODEXTECHP2P,NULL,2,1692584696,1692584696,NULL
16,38,MONTYMOBILEA2P,NULL,2,1692584696,1692584696,NULL